file,artist,genre,style,search
Romanticism/ivan-aivazovsky_morning-1851.jpg,9,marina,163,ivan-aivazovsky/morning-1851
Realism/vincent-van-gogh_vase-with-asters-and-phlox-1886.jpg,22,flower painting,161,vincent-van-gogh/vase-with-asters-and-phlox-1886
Expressionism/martiros-saryan_flowers-against-the-backdrop-of-carpet-1915.jpg,13,flower painting,149,martiros-saryan/flowers-against-the-backdrop-of-carpet-1915
Naive_Art_Primitivism/marc-chagall_self-portrait-1963.jpg,12,self-portrait,155,marc-chagall/self-portrait-1963
Art_Nouveau_Modern/nicholas-roerich_king-s-room-1913.jpg,14,design,143,nicholas-roerich/king-s-room-1913
Impressionism/salvador-dali_the-tartan-el-son.jpg,21,marina,152,salvador-dali/the-tartan-el-son
Art_Nouveau_Modern/nicholas-roerich_polovtsian-camp-1.jpg,14,design,143,nicholas-roerich/polovtsian-camp-1
Romanticism/ivan-aivazovsky_the-black-sea-at-night.jpg,9,marina,163,ivan-aivazovsky/the-black-sea-at-night
Impressionism/pierre-auguste-renoir_bouquet-of-flowers.jpg,17,flower painting,152,pierre-auguste-renoir/bouquet-of-flowers
Expressionism/marc-chagall_small-drawing-room-1908.jpg,12,interior,149,marc-chagall/small-drawing-room-1908
Baroque/rembrandt_self-portrait-1659-1.jpg,20,self-portrait,144,rembrandt/self-portrait-1659-1
Cubism/pablo-picasso_bull-plate-viii-1946.jpg,15,animal painting,147,pablo-picasso/bull-plate-viii-1946
Baroque/rembrandt_cupid-blowing-soap-bubbles-1634.jpg,20,mythological painting,144,rembrandt/cupid-blowing-soap-bubbles-1634
Realism/vincent-van-gogh_vase-with-carnations-and-other-flowers-1886.jpg,22,flower painting,161,vincent-van-gogh/vase-with-carnations-and-other-flowers-1886
Realism/pyotr-konchalovsky_airedale-on-the-balcony-1935.jpg,18,animal painting,161,pyotr-konchalovsky/airedale-on-the-balcony-1935
Post_Impressionism/pyotr-konchalovsky_spring-open-door-on-the-balcony-1948.jpg,18,interior,160,pyotr-konchalovsky/spring-open-door-on-the-balcony-1948
Impressionism/childe-hassam_isles-of-shoals-broad-cove.jpg,3,marina,152,childe-hassam/isles-of-shoals-broad-cove
Impressionism/edgar-degas_alexander-and-bucephalus-1861.jpg,5,history painting,152,edgar-degas/alexander-and-bucephalus-1861
Symbolism/nicholas-roerich_anxiety-1938.jpg,14,symbolic painting,164,nicholas-roerich/anxiety-1938
